Locality,dist_brussels,dist_antwerp,dist_ghent,dist_liege,dist_bruges,dist_namur,dist_leuven,dist_sea
Laneffe,64.4546895004407,104.89898508034037,102.26347207156682,86.32910514372301,136.8059003016545,34.03930217523761,68.48943089710085,144.33802947171787
Langdorp,39.64748385741725,41.1743755458044,80.87851449770231,64.01636941541945,117.34147860320444,58.49476734529685,17.330532268369684,112.61191463699026
Langemark,100.79967702613294,109.13873475859164,58.08184346792575,189.7205226006096,39.24108400544346,146.2759275008199,125.03950628903812,29.72814945901909
Langemark-Poelkapelle,99.7066786025094,108.15665632594656,57.07796581158003,188.6249569142164,38.78236953016514,145.20275003286832,123.95075095073994,30.37301659590157
Lasne,20.51500509525656,59.58787170902461,67.63159568895051,77.43372968973695,105.70502366826884,36.59941909366755,26.365709776693144,108.53305606780002
Lathuy,35.8352916105067,62.49335095359444,85.66864760788717,54.476906742406825,124.11430123077056,28.6115947409909,19.38691356013024,124.08927997482738
Latinne,62.92652632419664,85.54618436581505,112.75665088222794,29.00188619219169,151.1958887664684,27.04305110968184,43.77441082171054,150.77770530736277
Lauwe,81.6099317335134,97.17368100465708,47.0931142749744,168.86638082253944,46.815513714514616,123.62159554907508,106.27424920612808,52.112838178924285
Le Roeulx,42.569344636064365,82.40396111665011,66.52245591506549,106.06059592915146,99.18779337163194,55.369819256746645,59.825218643473015,108.05974298551432
Lebbeke,22.767359583887743,30.86821519417648,29.52416802418429,109.69870439945797,67.39017524831344,78.94945441583128,42.111640625550685,66.82591889128389
Lede,29.231404943208886,40.90237308130138,20.66607913729118,118.5501977752341,59.120237387594734,83.91362997134736,51.57767217333447,61.32424289022238
Ledeberg,47.54132652289372,50.38539844710788,2.535798659790551,136.70615800473152,40.82432262218543,101.68121945821464,69.41675261905715,44.633531625709765
Ledegem,86.03851223176649,98.10487734555642,47.07751718073762,174.37037012854907,40.20757660484615,130.31382542047962,110.52789472808526,43.56181767203055
Leefdaal,16.819593848300563,43.42923692997618,65.39701891774634,73.53955873650676,103.69675853095832,46.64677895893497,8.477566786751085,102.98009129895168
Leers-Et-Fosteau,61.47552342635057,102.6543570946414,91.60726168077314,101.3352951478277,123.88160378276368,48.073301373537205,71.86691371702295,133.15341305793
Leers-Nord,78.1659700587161,98.92238851609832,51.44794516701737,162.8881753080939,58.10333934778172,115.7035202923134,102.78649161252268,64.28593660400682
Leffinge,109.26730979903964,106.3637911558816,60.14192032701427,198.8365689347496,24.481590838238123,160.67871666933522,131.64474044804285,6.232318957109263
Lembeek,17.696577258319927,57.63698799725272,51.89970481528513,96.02907925238404,89.03159103826772,53.36311082256566,38.31738330383367,93.79593320273229
Lembeke,63.23377373250847,53.702290105824574,16.72488675876395,150.14061182336846,28.46438714493634,118.8280297610288,82.48250014813898,26.294151189350604
Lendelede,78.72922239706854,89.90047413443536,38.881768570214696,167.56137135343042,36.018362351949875,124.6011688390147,103.07822225597376,43.70326143613261
Lennik,13.918859146237068,48.61368750784676,41.593019913777965,101.50342889237184,79.44861567216924,62.65164753287484,38.4332121429524,83.11616895558495
Lens,42.2676167629697,78.57047510619597,55.11251683024408,116.35388029944606,86.02424893290907,67.48751701955109,63.5974612059392,95.84787952306064
Lens-Saint-Remy,59.11480178427463,81.16207505338211,108.86770621002378,31.683578454778875,147.2835850703295,27.536180871595068,39.48733418120465,146.63926552985004
Leopoldsburg,70.43638281697265,60.99846338212592,108.17344548441334,58.510827450620944,142.45562869889372,77.51797025689069,47.50784601683633,134.8303043557805
Les Hayons,128.3381869948028,164.938009280382,171.09025430710258,96.1883801058522,206.25110661764063,75.29962406795383,122.71953492059484,213.1924169507809
Lessines,39.75180116716866,69.18139376785423,38.84161754041652,123.60878012416372,69.65498509790355,78.4229600969326,63.94651335877077,79.22504916269244
Lesterny,106.13168727733708,138.74079916711463,153.1504224802283,62.084637584146805,190.3987609289138,50.00324814450755,95.6472480782804,194.58981163466296
Lesve,60.79633240327981,97.57809238835904,106.13324633565468,63.77836250554141,143.1670778606837,12.459800531778262,56.48696518652042,147.83584818466045
Leupegem,52.20935088061451,70.16290484439915,25.695249192122898,140.50846335784635,49.659682229522,97.9320131090024,76.81460761797318,61.16629145268644
Leuven,24.73562386662024,43.20706736297195,71.58849126447967,67.60981310396099,109.55013668434596,47.34448353751074,0.0813306275395816,107.60382791865948
Leuze-En-Hainaut,58.23586896212962,87.99394006607929,51.25496780311881,137.77800137948742,73.732837863199,89.10771048435218,81.7851539574636,85.51536944065143
Leval-Trahegnies,49.32299532781239,90.41372607086107,79.66322066382551,98.78251641033695,112.9680084224584,46.17347574345072,61.68381370786295,121.4588590033366
Libin,116.00799831173708,150.33146586076927,161.5239409447431,76.00019974704611,198.0577764764903,60.63008112097905,107.43688837872938,203.35319694236253
Libramont,126.25885160183374,158.93558261609425,172.82994691721964,76.58469288450603,209.7777281057429,70.20531736845705,115.8231710645592,214.43891820043805
Libramont-Chevigny,126.25885160183374,158.93558261609425,172.82994691721964,76.58469288450603,209.7777281057429,70.20531736845705,115.8231710645592,214.43891820043805
Lichtaart,57.493683722883134,36.03605806329407,85.99062586548673,80.39607406632767,118.07884570378208,84.20350462960953,41.23676093050576,109.19899669668575
Lichtervelde,87.14076283100593,90.64391724232448,40.46407794684844,176.8580821362381,21.067225971779564,136.82236269449714,110.51631414891348,26.94942916595147
Liedekerke,18.78675404306793,44.59827640267277,32.88586309478016,108.37138795637952,70.99885893269384,71.29036298244232,43.12168746630392,74.2455954118718
Liege,108.74285972853473,127.25710729879611,158.49948673493867,22.610556938749824,196.90119380733208,63.8160650878642,88.23543209742789,195.7649565076625
Lier,34.747624364042075,15.239854964583598,60.127675107436126,89.96165365790573,94.17164582240932,76.79278458177167,29.401598036613738,87.69209050527652
Lierde,36.5404161411669,60.65240109963831,28.79047159355905,124.25762277981744,61.94070428179473,82.20074885524534,61.23798486211592,69.99431087501898
Lievegem,61.62950174444834,57.67751094371713,12.076616719960294,150.10904997212018,26.97708938560341,116.23218809163644,82.50958674365279,30.44071666955013
Ligne,52.386246444931416,82.60220384959328,47.95230132769319,132.6251491961331,73.1781214948959,84.63484043988808,75.98241938625912,85.06331800774512
Ligny,40.7308925260628,79.52435397191961,85.25935508313775,72.14184036721637,122.44259853778684,21.545386185620423,41.76227224495528,126.95240592144954
